namespace,key,ru,en
plan,meal.DINNER,Ужин,Dinner
plan,meal.SNACK,Перекус,Snack
plan,empty.title,План пока пустой,Plan is empty
plan,empty.body,Добавляй блюда в план прямо из карточки рецепта — кнопка «В план готовки»,Add dishes to your plan from a recipe card — tap «Add to plan»
plan,empty.browseDishes,Посмотреть блюда,Browse dishes
plan,filterEmpty,По выбранному фильтру ничего нет,Nothing matches the selected filter
plan,guest.title,Планируй меню заранее,Plan your meals in advance
plan,guest.desc,"Добавляй блюда на неделю вперёд — и больше не думай, что готовить каждый день",Add dishes for the week ahead — no more wondering what to cook each day
plan,guest.register,Создать свою кухню,Create your kitchen
plan,guest.login,Уже есть аккаунт? Войти,Already have an account? Sign in
plan,dish_one,блюдо,dish
plan,dish_few,блюда,
plan,dish_many,блюд,
plan,day_one,день,day
plan,day_few,дня,
plan,day_many,дней,
profile,hero.noName,Без имени,No name
profile,hero.joinedAt,С нами с {{date}},Member since {{date}}
profile,hero.badge.pro,Pro,Pro
profile,hero.badge.free,Free,Free
profile,sections.connections,Подключения,Connections
profile,sections.settings,Настройки,Settings
profile,sections.account,Аккаунт,Account
profile,telegram.title,Telegram-бот,Telegram bot
profile,telegram.descConnected,Подключён,Connected
profile,telegram.descDisconnected,Управляй приложением прямо в Telegram,Manage the app directly in Telegram
profile,telegram.statusConnected,Подключено,Connected
profile,telegram.openBot,Открыть бота →,Open bot →
profile,telegram.connectButton,Подключить,Connect
profile,telegram.errorLink,Не удалось получить ссылку,Failed to get link
profile,language.row,Язык интерфейса,Interface language
profile,language.ru,Русский,Русский
profile,language.en,English,English
profile,language.hint,English перевод появится позже — пока подключена только инфраструктура.,English translation is available.
profile,logout,Выйти из аккаунта,Sign out
